datetime,reason,weight,is_member,channel_id,author_name,message,processed_msg
2022-03-16 21:06:04,,0,False,UC3NiNLEAVz-KzlO7vFRxRmw,のばぞうHF,かわいそうとかあるかな・・・,['かわいそうとかあるかな・・・']
2022-03-16 21:06:04,,0,False,UC4YIRg8CoSncsRIoUZyq5RQ,兎亀けい【白狐会】,はーい！,['はーい！']
2022-03-16 21:06:04,,0,False,UC-ZoLRpcZtDi1gOkpMya_9g,通關烤玉米,頑張れ！ミオママ！,['頑張れ！ミオママ！']
2022-03-16 21:06:05,,0,False,UCiBiTmHYvybVgBGArnr8qrA,念仏唱えられた馬🌽,がんばれ〜:double_exclamation_mark:,['がんばれ〜']
2022-03-16 21:06:05,,0,False,UCXQsBpMmJpU4PKZ_8F4arvg,だが!しかし!!,かわいい,emotes_only
2022-03-16 21:06:06,,0,False,UC4jkWmcIKPD1igmZjnwMkSg,madlyn hoppes,なんかやったの？ ,['なんかやったの？']
2022-03-16 21:06:06,,0,False,UCazPEQdFyuKGZXTXY0SspQA,無味無臭なヨースケ,がんばえー,['がんばえー']
2022-03-16 21:06:09,,0,False,UCv32WopYwG9wKa8FW2JUlmQ,Jene Mullarkey,々パチスロに詳しいしさすがやな ,['々パチスロに詳しいしさすがやな']
2022-03-16 21:06:10,,0,False,UCmNWF6ysytByssU-qtYfzug,ミヤ元素,頑張って！,['頑張って！']
2022-03-16 21:06:10,,0,False,UC_wL5dxt7AYUST71n8biwRw,キャンバス,がんばれー！,['がんばれー！']
2022-03-16 21:06:10,,0,False,UCTaaQ27wOjQCsXjl5EHeoaQ,Roland Roland,は感情がないから… ,['は感情がないから…']
2022-03-16 21:06:11,,0,False,UC1Np6rFh26x50JVDxoyhQeA,ハテナボシ,頑張ってけ～,['頑張ってけ～']
2022-03-16 21:06:11,,0,False,UCLM7zdopsCEF0Gj4WGkk0Ow,naput hale,いつものの調整だぞ ,['いつものの調整だぞ']
2022-03-16 21:06:12,,0,False,UCtqhJhiRszAyRt-sDO4uQqw,藍華,がんばれー！,['がんばれー！']
